sic7_1d_numeric,sic7_1d
1,"Agriculture"
2,"Mining"
3,"Manufacturing"
4,"Electricity"
5,"Water supply"
6,"Construction"
7,"Retail & Repairs"
8,"Transportation"
9,"Accommodation"
10,"IT"
11,"Financial"
12,"Real estate"
13,"Scientific"
14,"Administration"
15,"Public administration"
16,"Education"
17,"Health"
18,"Arts"
19,"Other services"
20,"Households"
21,"Organizations"
